split_regime,seed,method,record_id,group_id,y_true,y_pred
random,20260815,morgan_xgboost,40,record:40,1,0.9898228645324707
random,20260815,morgan_xgboost,42,record:42,1,0.9898228645324707
random,20260815,morgan_xgboost,158,record:158,1,0.9823182821273804
random,20260815,morgan_xgboost,252,record:252,1,0.918032169342041
random,20260815,morgan_xgboost,253,record:253,1,0.918032169342041
random,20260815,morgan_xgboost,298,record:298,1,0.8418741226196289
random,20260815,morgan_xgboost,308,record:308,1,0.7617542743682861
random,20260815,morgan_xgboost,310,record:310,1,0.1223454624414444
random,20260815,morgan_xgboost,311,record:311,1,0.1223454624414444
random,20260815,morgan_xgboost,325,record:325,1,0.9738959670066833
random,20260815,morgan_xgboost,351,record:351,1,0.8482178449630737
random,20260815,morgan_xgboost,356,record:356,1,0.9599780440330505
random,20260815,morgan_xgboost,357,record:357,1,0.9516957402229309
random,20260815,morgan_xgboost,361,record:361,1,0.94247967004776
random,20260815,morgan_xgboost,372,record:372,1,0.9613598585128784
random,20260815,morgan_xgboost,411,record:411,1,0.9879262447357178
random,20260815,morgan_xgboost,428,record:428,1,0.9935292601585388
random,20260815,morgan_xgboost,429,record:429,1,0.9935292601585388
random,20260815,morgan_xgboost,432,record:432,1,0.9887831807136536
random,20260815,morgan_xgboost,445,record:445,1,0.9750358462333679
random,20260815,morgan_xgboost,447,record:447,1,0.9825342297554016
random,20260815,morgan_xgboost,521,record:521,1,0.983697235584259
random,20260815,morgan_xgboost,540,record:540,1,0.930553138256073
random,20260815,morgan_xgboost,554,record:554,1,0.9030245542526245
random,20260815,morgan_xgboost,570,record:570,1,0.9361912608146667
random,20260815,morgan_xgboost,579,record:579,1,0.9361912608146667
random,20260815,morgan_xgboost,591,record:591,1,0.9558900594711304
random,20260815,morgan_xgboost,616,record:616,1,0.9667642712593079
random,20260815,morgan_xgboost,663,record:663,1,0.957991898059845
random,20260815,morgan_xgboost,760,record:760,1,0.9789101481437683
random,20260815,morgan_xgboost,762,record:762,1,0.9789101481437683
random,20260815,morgan_xgboost,777,record:777,1,0.15439370274543762
random,20260815,morgan_xgboost,784,record:784,1,0.43077579140663147
random,20260815,morgan_xgboost,820,record:820,1,0.9764560461044312
random,20260815,morgan_xgboost,884,record:884,1,0.9568132162094116
random,20260815,morgan_xgboost,900,record:900,1,0.4128854274749756
random,20260815,morgan_xgboost,940,record:940,1,0.982079267501831
random,20260815,morgan_xgboost,987,record:987,1,0.9964613318443298
random,20260815,morgan_xgboost,1025,record:1025,1,0.9868385195732117
random,20260815,morgan_xgboost,1065,record:1065,1,0.9948253631591797
random,20260815,morgan_xgboost,1118,record:1118,1,0.9276663064956665
random,20260815,morgan_xgboost,1167,record:1167,1,0.9728536605834961
random,20260815,morgan_xgboost,1168,record:1168,1,0.9728536605834961
random,20260815,morgan_xgboost,1169,record:1169,1,0.9728536605834961
random,20260815,morgan_xgboost,1271,record:1271,1,0.9250618815422058
random,20260815,morgan_xgboost,1406,record:1406,1,0.8293699622154236
random,20260815,morgan_xgboost,1409,record:1409,1,0.8293699622154236
random,20260815,morgan_xgboost,1449,record:1449,1,0.9381389617919922
random,20260815,morgan_xgboost,1463,record:1463,1,0.7275343537330627
random,20260815,morgan_xgboost,1507,record:1507,1,0.8846218585968018
random,20260815,morgan_xgboost,1520,record:1520,1,0.8213300704956055
random,20260815,morgan_xgboost,1547,record:1547,1,0.9836846590042114
random,20260815,morgan_xgboost,1575,record:1575,1,0.9926284551620483
random,20260815,morgan_xgboost,1595,record:1595,1,0.9926284551620483
random,20260815,morgan_xgboost,1656,record:1656,1,0.9761096239089966
random,20260815,morgan_xgboost,1661,record:1661,1,0.985253632068634
random,20260815,morgan_xgboost,1662,record:1662,1,0.985253632068634
random,20260815,morgan_xgboost,1926,record:1926,1,0.9182746410369873
random,20260815,morgan_xgboost,1990,record:1990,1,0.6166529059410095
random,20260815,morgan_xgboost,2016,record:2016,1,0.961719810962677
random,20260815,morgan_xgboost,2029,record:2029,1,0.9271532297134399
random,20260815,morgan_xgboost,2038,record:2038,1,0.9788268804550171
random,20260815,morgan_xgboost,2039,record:2039,1,0.9799134731292725
random,20260815,morgan_xgboost,2042,record:2042,1,0.9716488718986511
random,20260815,morgan_xgboost,2096,record:2096,1,0.9319692850112915
random,20260815,morgan_xgboost,2126,record:2126,1,0.9859390258789062
random,20260815,morgan_xgboost,2128,record:2128,1,0.9683462381362915
random,20260815,morgan_xgboost,2129,record:2129,1,0.9678446650505066
random,20260815,morgan_xgboost,2133,record:2133,1,0.9833195805549622
random,20260815,morgan_xgboost,2178,record:2178,1,0.9751299619674683
random,20260815,morgan_xgboost,2261,record:2261,1,0.7943823933601379
random,20260815,morgan_xgboost,2300,record:2300,1,0.9903361797332764
random,20260815,morgan_xgboost,2358,record:2358,1,0.9568623304367065
random,20260815,morgan_xgboost,2381,record:2381,1,0.9828616380691528
random,20260815,morgan_xgboost,2382,record:2382,1,0.9828616380691528
random,20260815,morgan_xgboost,2388,record:2388,1,0.9828616380691528
random,20260815,morgan_xgboost,2394,record:2394,1,0.9518167972564697
random,20260815,morgan_xgboost,2420,record:2420,1,0.9158685803413391
random,20260815,morgan_xgboost,2467,record:2467,1,0.9942253232002258
random,20260815,morgan_xgboost,2549,record:2549,1,0.9415957927703857
random,20260815,morgan_xgboost,2577,record:2577,1,0.8982848525047302
random,20260815,morgan_xgboost,2581,record:2581,1,0.8273484110832214
random,20260815,morgan_xgboost,2582,record:2582,1,0.889421284198761
random,20260815,morgan_xgboost,2583,record:2583,1,0.8559908866882324
random,20260815,morgan_xgboost,2584,record:2584,1,0.8836609125137329
random,20260815,morgan_xgboost,2846,record:2846,1,0.9473556876182556
random,20260815,morgan_xgboost,2947,record:2947,1,0.9926284551620483
random,20260815,morgan_xgboost,2961,record:2961,1,0.9799250364303589
random,20260815,morgan_xgboost,3068,record:3068,1,0.9924830794334412
random,20260815,morgan_xgboost,3069,record:3069,1,0.9871878623962402
random,20260815,morgan_xgboost,3071,record:3071,1,0.9942910671234131
random,20260815,morgan_xgboost,3076,record:3076,1,0.9927783608436584
random,20260815,morgan_xgboost,3077,record:3077,1,0.9944201111793518
random,20260815,morgan_xgboost,3081,record:3081,1,0.9882623553276062
random,20260815,morgan_xgboost,3085,record:3085,1,0.9747262597084045
random,20260815,morgan_xgboost,3990,record:3990,1,0.9729222059249878
random,20260815,morgan_xgboost,4010,record:4010,1,0.991004228591919
random,20260815,morgan_xgboost,4039,record:4039,1,0.9849399924278259
random,20260815,morgan_xgboost,4045,record:4045,1,0.9380938410758972
random,20260815,morgan_xgboost,4132,record:4132,1,0.9891723394393921
random,20260815,morgan_xgboost,4135,record:4135,1,0.9829676747322083
random,20260815,morgan_xgboost,4147,record:4147,1,0.964777946472168
random,20260815,morgan_xgboost,4153,record:4153,1,0.9823869466781616
random,20260815,morgan_xgboost,4154,record:4154,1,0.9891548752784729
random,20260815,morgan_xgboost,4155,record:4155,1,0.9891548752784729
random,20260815,morgan_xgboost,4158,record:4158,1,0.9765709638595581
random,20260815,morgan_xgboost,4174,record:4174,1,0.9940897226333618
random,20260815,morgan_xgboost,4177,record:4177,1,0.9694297909736633
random,20260815,morgan_xgboost,4195,record:4195,1,0.9896855354309082
random,20260815,morgan_xgboost,4196,record:4196,1,0.9896855354309082
random,20260815,morgan_xgboost,4197,record:4197,1,0.9896855354309082
random,20260815,morgan_xgboost,4199,record:4199,1,0.9896855354309082
random,20260815,morgan_xgboost,4363,record:4363,1,0.7400346994400024
random,20260815,morgan_xgboost,4364,record:4364,1,0.7026607394218445
random,20260815,morgan_xgboost,4375,record:4375,1,0.9649017453193665
random,20260815,morgan_xgboost,4392,record:4392,1,0.9511010050773621
random,20260815,morgan_xgboost,4394,record:4394,1,0.9908648133277893
random,20260815,morgan_xgboost,4426,record:4426,1,0.9467730522155762
random,20260815,morgan_xgboost,4463,record:4463,1,0.9689314961433411
random,20260815,morgan_xgboost,4464,record:4464,1,0.9689314961433411
random,20260815,morgan_xgboost,4644,record:4644,1,0.982418954372406
random,20260815,morgan_xgboost,4758,record:4758,1,0.9882168173789978
random,20260815,morgan_xgboost,4759,record:4759,1,0.9881184697151184
random,20260815,morgan_xgboost,4760,record:4760,1,0.9870250225067139
random,20260815,morgan_xgboost,4773,record:4773,1,0.9929004907608032
random,20260815,morgan_xgboost,4777,record:4777,1,0.9214122295379639
random,20260815,morgan_xgboost,4927,record:4927,1,0.9824116826057434
random,20260815,morgan_xgboost,4930,record:4930,1,0.9824116826057434
random,20260815,morgan_xgboost,4931,record:4931,1,0.9824116826057434
random,20260815,morgan_xgboost,4944,record:4944,1,0.9937419295310974
random,20260815,morgan_xgboost,4945,record:4945,1,0.23639936745166779
random,20260815,morgan_xgboost,4964,record:4964,1,0.9489152431488037
random,20260815,morgan_xgboost,4973,record:4973,1,0.886906087398529
random,20260815,morgan_xgboost,4974,record:4974,1,0.886906087398529
random,20260815,morgan_xgboost,5014,record:5014,1,0.9621472954750061
random,20260815,morgan_xgboost,5026,record:5026,1,0.9898657202720642
random,20260815,morgan_xgboost,5115,record:5115,1,0.8766763210296631
random,20260815,morgan_xgboost,5243,record:5243,1,0.9933062195777893
random,20260815,morgan_xgboost,5271,record:5271,1,0.9882955551147461
random,20260815,morgan_xgboost,5273,record:5273,1,0.9903476238250732
random,20260815,morgan_xgboost,5274,record:5274,1,0.9919392466545105
random,20260815,morgan_xgboost,5275,record:5275,1,0.9919392466545105
random,20260815,morgan_xgboost,5289,record:5289,1,0.9771447777748108
random,20260815,morgan_xgboost,5298,record:5298,1,0.9903675317764282
random,20260815,morgan_xgboost,5304,record:5304,1,0.979089081287384
random,20260815,morgan_xgboost,5308,record:5308,1,0.9808636903762817
random,20260815,morgan_xgboost,5379,record:5379,1,0.36101460456848145
